feature,gain,split
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MAX,7525.1717483997345,328.3
POS_SK_DPD_DEF_MEAN,7517.416705799103,248.6
POS_LOAN_COMPLETED_MEAN,7476.3305972576145,376.1
INS_DAYS_ENTRY_PAYMENT_MAX,7450.342237329483,354.8
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_SUM,7445.167879724502,351.3
CURRENT_TO_APPROVED_CREDIT_MEAN_RATIO,7432.265996265412,352.4
INS_36M_SIGNIFICANT_LATE_PAYMENT_MEAN,7420.085347318649,225.7
INS_DBD_MAX,7359.607600402832,371.3
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,7358.280195426941,320.1
BUREAU_CREDIT_ACTIVE_Closed_MEAN,7357.633385658264,265.7
PREV_ACTIVE_AMT_CREDIT_SUM,7356.861308145523,351.5
INS_60M_AMT_PAYMENT_SUM,7282.335739135742,286.0
PREV_Consumer_CNT_PAYMENT_MEAN,7273.582243251801,361.7
PREV_Consumer_APPLICATION_CREDIT_RATIO_MAX,7267.061726951599,321.3
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,7250.151897716522,363.4
PREV_LAST12M_SIMPLE_INTERESTS_MAX,7230.67965965271,350.8
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MIN,7223.433906841278,319.8
PREV_Cash_APPLICATION_CREDIT_DIFF_MIN,7209.4807834148405,330.6
INS_60M_AMT_PAYMENT_MIN,7133.097849464417,361.4
PREV_LAST24M_AMT_ANNUITY_MEAN,7127.256977558136,366.8
INS_60M_DBD_MAX,7118.57788362503,361.4
INS_60M_DPD_MEAN,7110.750218582153,246.2
INS_36M_DBD_MAX,7108.199386358261,364.9
PREV_Consumer_DAYS_DECISION_MAX,7099.177388620376,357.4
APPROVED_AMT_CREDIT_MIN,7097.482409381866,362.3
POS_NAME_CONTRACT_STATUS_Active_MEAN,7063.054734516144,362.2
PREV_ACTIVE_REMAINING_DEBT_MEAN,7040.915599250793,321.7
APARTMENTS_AVG,7031.482517337799,339.4
PREV_LAST12M_DAYS_DECISION_MIN,6996.901747274399,377.7
BUREAU_AMT_CREDIT_SUM_MAX,6981.194088554383,325.7
BUREAU_ACTIVE_AMT_CREDIT_SUM_MAX,6975.517217540741,340.0
PREV_Cash_APPLICATION_CREDIT_DIFF_VAR,6974.366836309433,340.8
INS_AMT_PAYMENT_MIN,6959.462061977387,357.7
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,6939.536596775055,318.1
PREV_LAST24M_AMT_CREDIT_SUM,6914.750437307358,341.6
INS_36M_AMT_PAYMENT_SUM,6864.791497182846,288.5
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,6856.036760807037,293.3
APPROVED_CREDIT_TO_ANNUITY_RATIO_MEAN,6832.316166973114,309.8
BUREAU_LAST6M_AMT_CREDIT_SUM_SUM,6800.208972883224,329.5
INS_60M_AMT_INSTALMENT_MIN,6798.1083216667175,330.7
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,6746.39478149414,317.9
CC_CNT_DRAWINGS_CURRENT_MAX,6737.059751653671,297.2
APPROVED_DAYS_LAST_DUE_DIFF_MEAN,6725.8154815196995,326.6
PREV_LAST12M_DAYS_DECISION_MEAN,6719.369331741333,362.0
APPROVED_APPLICATION_CREDIT_RATIO_MEAN,6711.993636131287,332.4
APPROVED_AMT_ANNUITY_MIN,6659.062609577179,336.2
PREV_APPLICATION_CREDIT_DIFF_MEAN,6572.400636577606,321.2
APPROVED_DAYS_LAST_DUE_DIFF_MIN,6551.154852485657,314.6
PREV_ACTIVE_REPAYMENT_RATIO_MEAN,6465.305772304535,288.9
APARTMENTS_MODE,6456.1305883407595,319.8
PREV_LAST24M_APPLICATION_CREDIT_DIFF_MIN,6425.94588971138,304.7
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,6405.496187448502,353.0
PREV_AMT_ANNUITY_MEAN,6381.008585214615,335.7
PREV_DAYS_DECISION_MAX,6330.835190296173,320.5
PREV_ACTIVE_DAYS_DECISION_MEAN,6290.141214609146,319.9
REFUSED_APPLICATION_CREDIT_RATIO_MIN,6280.2926892280575,207.6
INS_36M_AMT_INSTALMENT_MAX,6279.873861455917,293.9
INS_60M_PAYMENT_DIFFERENCE_MEAN,6219.909782028199,263.5
POS_NAME_CONTRACT_STATUS_Completed_MEAN,6197.604486370086,316.4
INS_60M_SIGNIFICANT_LATE_PAYMENT_MEAN,6190.080174732208,215.5
PREV_LAST12M_DAYS_LAST_DUE_1ST_VERSION_MIN,6169.652528762817,292.1
INS_SK_ID_PREV_SIZE,6140.035223484039,274.4
BUREAU_ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,6067.056531333923,252.5
INS_60M_DAYS_ENTRY_PAYMENT_MAX,6066.332393217087,295.4
AMT_INCOME_TOTAL,6062.9580701828,324.1
BUREAU_CREDIT_ACTIVE_Active_MEAN,6040.92899594307,252.0
INS_36M_SK_ID_PREV_SIZE,6037.751144170761,296.7
BUREAU_LL_STATUS_12345_MEAN,6022.272290325165,314.4
PREV_APPLICATION_CREDIT_RATIO_MAX,6012.212340164185,253.3
PREV_RATE_DOWN_PAYMENT_MEAN,6001.45324215889,313.6
INS_AMT_INSTALMENT_MIN,5996.7246249198915,292.7
APPROVED_AMT_ANNUITY_MEAN,5910.6422041893,298.4
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MEAN,5856.031705188751,262.5
PREV_RATE_DOWN_PAYMENT_MAX,5835.827668762207,276.3
INS_36M_AMT_PAYMENT_MEAN,5830.385723018646,281.2
APPROVED_DAYS_FIRST_DUE_MEAN,5802.282692527771,284.9
PREV_DAYS_DECISION_MIN,5784.511431121826,258.0
APPROVED_APPLICATION_CREDIT_RATIO_MAX,5702.491265487671,251.9
INS_60M_SK_ID_PREV_SIZE,5661.700265789032,261.7
INS_36M_AMT_INSTALMENT_MEAN,5654.186126565934,282.0
PREV_LAST24M_AMT_ANNUITY_MAX,5623.096381282807,288.3
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,5612.778676843644,254.1
BUREAU_STATUS_0_MEAN,5609.629719448089,321.7
120_TREND_PAID_OVER_AMOUNT,5598.683719682694,283.2
INS_12M_LIMIT_USE_MAX,5568.084159231186,199.6
APPROVED_HOUR_APPR_PROCESS_START_MAX,5550.583024549484,244.6
APARTMENTS_MEDI,5533.41492023468,263.2
LAST_LOAN_DPD_max,5523.23861284256,118.8
PREV_LAST24M_APPLICATION_CREDIT_RATIO_MAX,5508.346503925323,296.8
REFUSED_DAYS_DECISION_MIN,5487.43427464962,252.4
INS_36M_PAYMENT_DIFFERENCE_MEAN,5445.052070617676,224.4
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,5430.685452270508,264.8
INS_AMT_INSTALMENT_MAX,5421.9025706291195,252.1
PREV_Cash_SIMPLE_INTERESTS_VAR,5416.9292623996735,302.9
REFUSED_APPLICATION_CREDIT_DIFF_MAX,5408.447899961471,242.1
60_TREND_PAID_OVER_AMOUNT,5379.758444213867,271.5
LAST_LOAN_LATE_PAYMENT_count,5378.671243619919,275.8
POS_MONTHS_BALANCE_MAX,5348.643597698212,242.4
LAST_LOAN_DPD_sum,5334.397899580002,141.8
INS_PAYMENT_DIFFERENCE_MEAN,5329.438639736176,222.5
TOTAL_REPAYMENT_RATIO,5323.136608791351,257.8
APPROVED_AMT_GOODS_PRICE_MAX,5283.93809466362,251.6
PREV_LAST12M_APPLICATION_CREDIT_RATIO_MIN,5272.611935901642,215.8
12_TREND_PAID_OVER_AMOUNT,5250.845098543167,282.3
PREV_Cash_AMT_CREDIT_SUM,5250.137993812561,261.2
PREV_APPLICATION_CREDIT_RATIO_MIN,5230.0267430305485,235.8
REFUSED_APPLICATION_CREDIT_DIFF_VAR,5227.997500228882,237.1
APPROVED_AMT_ANNUITY_MAX,5218.38968219757,252.3
AGE_RANGE,5213.440620470047,171.9
INS_60M_AMT_INSTALMENT_SUM,5210.83968243599,226.1
PREV_APPLICATION_CREDIT_DIFF_MIN,5169.672849702835,261.6
PREV_Cash_AMT_ANNUITY_MEAN,5160.6985835075375,270.7
INS_DPD_7_MEAN,5143.781866312027,179.0
BUREAU_LAST6M_AMT_CREDIT_SUM_MAX,5125.985589504242,262.7
INS_36M_AMT_INSTALMENT_SUM,5121.560654687882,238.2
APPROVED_DAYS_LAST_DUE_DIFF_MAX,5114.603451395034,261.7
DEF_60_CNT_SOCIAL_CIRCLE,5102.536546087265,192.0
APPROVED_AMT_CREDIT_MEAN,5097.315813970566,251.2
INS_60M_AMT_INSTALMENT_MEAN,5068.544656181335,251.9
APPROVED_DAYS_DECISION_MEAN,5053.6037733078,234.0
PREV_ACTIVE_DAYS_LAST_DUE_1ST_VERSION_MEAN,5035.075739002228,204.3
PREV_LAST12M_AMT_CREDIT_SUM,5024.28809299469,252.0
INS_36M_LATE_PAYMENT_MEAN,5018.832886099815,207.7
PREV_DOWN_PAYMENT_TO_CREDIT_MEAN,5016.231308555603,260.3
POS_REMAINING_INSTALMENTS_RATIO,4954.36237783432,239.3
PREV_ACTIVE_AMT_APPLICATION_MEAN,4947.307093143463,257.2
INS_60M_AMT_PAYMENT_MEAN,4911.566866397858,243.0
